<HTML>
<BODY>
<PRE>
Cue, Mss, Assoc, Rank, Strength
AARDVARK, 13, PINK PANTHER, 5, .03
AARDVARK, 13, CONFUSED, 9, .01
AARDVARK, 13, ROAD KILL, 12, .01
ABDOMEN, 12, SIT UPS, 5, .03
ABDOMEN, 12, CRUNCHES, 10, .01
ABDOMEN, 12, SIX PACK, 13, .01
ABILITY, 22, DISABILITY, 10, .03
ABILITY, 22, KNOW HOW, 16, .01
ABILITY, 22, TO, 21, .01
ABILITY, 22, UNABLE, 22, .01
ABNORMAL, 13, DEFORMED, 9, .01
ABSENCE, 22, NOT THERE, 9, .03
ABSENCE, 22, WITHDRAWAL, 22, .01
ABSENT, 12, NOT HERE, 8, .04
ABSTRACT, 18, PICASSO, 17, .01
ABSTRACT, 18, UNREAL, 19, .01
ABSURD, 14, UNBELIEVABLE, 11, .02
ABSURD, 14, UNHEARD OF, 12, .02
ABSURD, 14, LUDICROUS, 15, .01
ABUNDANCE, 21, EXCESS, 11, .01
ABUNDANCE, 21, MYRIAD, 16, .01
ABUNDANCE, 21, OVERWHELMING, 17, .01
ABUNDANCE, 21, PLETHORA, 19, .01
ABUSE, 15, SEXUAL, 15, .01
ACCELERATE, 11, DECELERATE, 5, .03
ACCEPT, 18, UNACCEPTABLE, 10, .02
ACCEPT, 18, EXCEPT, 11, .01
ACCIDENT, 20, UNINTENTIONAL, 8, .03
ACCIDENT, 20, PRONE, 11, .02
ACCIDENT, 20, MISHAP, 17, .01
ACCIDENT, 20, OOPS, 18, .01
ACCOUNT, 14, ANTE, 11, .01
ACCOUNT, 14, SAVINGS, 14, .01
ACCUMULATE, 20, CLUTTER, 9, .03
ACCUMULATE, 20, AMASS, 16, .01
ACCURATE, 15, CONCISE, 10, .01
ACCURATE, 15, DETAILED, 11, .01
ACCURATE, 15, INACCURATE, 13, .01
ACE, 15, DEUCE, 6, .03
ACE, 15, HARDWARE, 9, .02
ACHIEVEMENT, 17, GPA, 15, .01
ACID, 15, LSD, 8, .03
ACKNOWLEDGE, 22, NOD, 14, .02
ACQUIRE, 17, INHERIT, 15, .01
ACT, 16, SAT, 11, .02
ACTION, 20, PACKED, 12, .02
ACTIVE, 21, INACTIVE, 7, .05
ACTIVE, 21, MOVING, 11, .03
ACTIVE, 21, INVOLVED, 18, .01
ACTIVITY, 22, EXTRACURRICULAR, 13, .02
ACTOR, 14, THESPIAN, 7, .02
ACTOR, 14, HOLLYWOOD, 9, .01
ACTOR, 14, ROLE, 13, .01
AD, 19, CLASSIFIED, 10, .03
AD, 19, ADVERTISE, 14, .01
ADDICT, 9, HELPLESS, 10, .01
ADDICTION, 8, JANE'S, 6, .03
ADDITION, 8, ALSO, 7, .01
ADDRESS, 16, RESIDENCE, 11, .02
ADDRESS, 16, ZIP CODE, 12, .02
ADJOURN, 16, RECESS, 12, .02
ADJOURN, 16, NEXT, 16, .01
ADJUSTMENT, 14, CHIROPRACTOR, 8, .02
ADJUSTMENT, 14, CORRECTION, 9, .02
ADJUSTMENT, 14, ARRANGE, 10, .01
ADJUSTMENT, 14, COMPROMISE, 12, .01
ADMIRE, 17, ADMONISH, 11, .02
ADMIRE, 17, IDOLIZE, 18, .01
ADORN, 23, LAVISH, 19, .01
ADORN, 23, PUT ON, 22, .01
ADULT, 12, EIGHTEEN, 8, .03
ADULTERY, 11, FORNICATION, 9, .01
ADULTERY, 11, SCARLET, 11, .01
ADULTS, 17, MALES, 14, .01
ADULTS, 17, OLDER, 15, .01
ADULTS, 17, TEENAGERS, 16, .01
ADULTS, 17, X-RATED, 18, .01
ADVANCE, 21, PROGRESS, 21, .01
ADVANCE, 21, PROMOTION, 22, .01
ADVENTURE, 18, EXPEDITION, 12, .01
ADVENTURE, 18, INDIANA JONES, 14, .01
ADVENTURE, 18, THRILL, 18, .01
ADVENTUROUS, 23, EXPLORE, 18, .01
ADVENTUROUS, 23, TRAVELER, 24, .01
ADVERSARY, 12, ALLY, 8, .01
ADVERTISEMENT, 18, PROPAGANDA, 11, .02
ADVICE, 20, CONSENT, 12, .02
ADVIL, 13, BAYER, 12, .01
ADVIL, 13, RELIEVE, 14, .01
ADVISE, 19, ACADEMIC, 13, .01
ADVISE, 19, COUNSELOR, 15, .01
ADVISE, 19, LUCI, 19, .01
AEROBICS, 15, SHAPELY, 7, .03
AEROBICS, 15, TIRING, 14, .02
AFFAIR, 19, INFIDELITY, 18, .01
AFFECT, 16, DEFECT, 8, .02
AFRICA, 16, APARTHEID, 5, .06
AFRICA, 16, EXOTIC, 13, .01
AFTERNOON, 20, MIDDAY, 10, .03
AFTERNOON, 20, DAYTIME, 12, .02
AGAIN, 12, RE-DO, 7, .03
AGENCY, 19, ADVERTISING, 14, .01
AGENCY, 19, TEMPORARY, 20, .01
AGENDA, 14, ITINERARY, 11, .01
AGENT, 24, UNDERCOVER, 6, .04
AGENT, 24, OO7, 7, .03
AGENT, 24, REPRESENTATIVE, 15, .02
AGGRAVATE, 11, PISS OFF, 8, .04
AGGRAVATE, 11, AGITATE, 11, .01
AGGRESSIVE, 20, PERSISTENT, 18, .01
AGONY, 8, HEARTACHE, 9, .01
AGRICULTURE, 18, MIDWEST, 17, .01
AGRICULTURE, 18, ORANGES, 18, .01
AIDS, 14, HIV, 5, .05
AIDS, 14, GAY, 12, .01
AIR FORCE, 15, ACADEMY, 9, .03
AIR FORCE, 15, F-16, 12, .01
AIR FORCE, 15, MACDILL, 14, .01
AIRPORT, 6, DEPARTURE, 4, .01
ALCOHOL, 12, ALCOHOLISM, 9, .02
ALCOHOL, 12, DRUNK DRIVING, 10, .01
ALERT, 13, ATTENTIVE, 9, .04
ALERT, 13, ON GUARD, 13, .01
ALGAE, 16, SEAWEED, 17, .01
ALIVE, 14, KICKING, 7, .02
ALIVE, 14, VIBRANT, 14, .01
ALLERGY, 15, HAY FEVER, 12, .01
ALLOW, 16, PERMISSIVE, 14, .01
ALMIGHTY, 8, MIGHTY MOUSE, 9, .01
ALMOND, 11, KISSES, 9, .02
ALMOND, 11, M&M'S, 10, .02
ALONE, 19, LONESOME, 11, .02
ALONE, 19, SOLITUDE, 14, .02
ALONE, 19, SOLITARY, 19, .01
ALPHABET, 11, ABC, 6, .04
ALPHABET, 11, KINDERGARTEN, 7, .03
ALPHABET, 11, TWENTY SIX, 12, .01
AMBITION, 18, MOTIVATION, 11, .02
AMBITION, 18, GUMPTION, 14, .01
AMERICA, 13, HYPOCRITICAL, 12, .01
AMERICAN, 19, RUSSIAN, 14, .02
AMERICAN, 19, NATIONALISM, 19, .01
AMOUNT, 15, HOW MUCH, 13, .02
AMP, 19, AMPLIFY, 10, .03
AMUSE, 14, BORE, 8, .02
ANALYSIS, 21, PSYCHO, 8, .02
ANALYSIS, 21, PSYCHIATRIST, 16, .01
ANALYSIS, 21, PSYCHOLOGIST, 17, .01
ANARCHY, 20, DICTATORSHIP, 9, .02
ANARCHY, 20, COMMUNISM, 14, .01
ANATOMY, 13, CADAVER, 10, .01
ANGER, 14, HOSTILE, 9, .02
ANIMAL, 28, MAGNETISM, 16, .02
ANIMALS, 22, ENDANGERED, 18, .01
ANIMALS, 22, HUMANS, 21, .01
ANIMALS, 22, SMELLY, 23, .01
ANISETTE, 10, LICORICE, 2, .03
ANKLE, 16, BRACE, 8, .03
ANKLE, 16, ANKLET, 14, .01
ANNIHILATE, 12, TERMINATE, 12, .01
ANNOUNCE, 19, DECLARE, 13, .02
ANNOUNCE, 19, PROCLAIM, 14, .02
ANNOUNCE, 19, INTERCOM, 16, .01
ANNOY, 15, PISS OFF, 12, .02
ANNOY, 15, ANTAGONIZE, 13, .01
