TARGET, K&F FREQ, Accessibility Index
FOOD, 147, 324
MONEY, 265, 302
WATER, 442, 276
CAR, 274, 259
GOOD, 807, 255
BAD, 142, 229
WORK, 760, 196
HOUSE, 591, 185
SCHOOL, 492, 183
LOVE, 232, 181
MAN, 1207, 171
PAPER, 157, 163
PAIN, 88, 158
ANIMAL, 68, 156
PEOPLE, 847, 154
FUN, 44, 151
BOOK, 193, 149
CLOTHES, 89, 147
HAPPY, 98, 145
HARD, 202, 144
DOG, 75, 144
COLD, 171, 138
HURT, 37, 137
RED, 197, 135
PERSON, 175, 134
DEATH, 277, 133
MUSIC, 216, 132
WHITE, 365, 131
BLACK, 203, 129
HOT, 130, 127
GIRL, 220, 127
GREEN, 116, 126
EAT, 61, 126
UP, 1895, 120
BIG, 360, 120
TIME, 1599, 119
MEAN, 199, 119
SMALL, 542, 117
NICE, 75, 115
HAIR, 148, 114
FRIEND, 133, 114
OLD, 660, 112
SEX, 84, 110
CLEAN, 70, 109
LIFE, 715, 107
TREE, 59, 106
HELP, 311, 105
ME, 1181, 103
MOVIE, 29, 103
CHILD, 213, 101
DRINK, 82, 101
SAD, 35, 100
GAME, 123, 99
HIGH, 497, 97
HOME, 547, 97
SOFT, 61, 96
LIGHT, 333, 95
CLASS, 207, 95
PLAY, 200, 95
STOP, 120, 94
SMELL, 34, 93
STRONG, 202, 92
FIRE, 187, 91
LONG, 755, 91
SMART, 21, 91
FIGHT, 98, 90
SICK, 51, 90
FISH, 35, 90
BABY, 62, 89
GOD, 318, 87
RUN, 212, 87
WRONG, 129, 87
TALK, 154, 86
FAST, 78, 85
CHURCH, 348, 85
BALL, 110, 84
FAT, 60, 84
OUT, 2096, 84
PARTY, 216, 84
SPACE, 184, 83
DIRTY, 36, 83
WOOD, 55, 83
LOUD, 20, 83
BODY, 276, 83
DARK, 185, 82
SUN, 112, 81
SCIENCE, 131, 81
CUT, 192, 81
DOWN, 895, 80
TOGETHER, 267, 80
FALL, 147, 80
MATH, 4, 80
GROSS, 30, 80
BREAK, 88, 79
HORSE, 117, 79
ROOM, 383, 79
GUN, 118, 79
BIRD, 31, 79
SWEET, 70, 79
BORING, 5, 78
HEAD, 424, 77
END, 410, 77
SLEEP, 65, 75
HIT, 115, 75
DIRT, 43, 75
COLOR, 141, 74
JOB, 238, 74
DEAD, 174, 74
KILL, 63, 73
BOAT, 72, 73
LEAVE, 205, 73
STUPID, 24, 73
BLOOD, 121, 72
OCEAN, 34, 72
SHOW, 287, 72
WAR, 464, 72
LIE, 59, 71
PRETTY, 107, 71
PROBLEM, 313, 71
TEST, 119, 71
WOMAN, 224, 71
UGLY, 21, 70
GO, 626, 70
TELEVISION, 50, 70
THINK, 433, 70
OPEN, 319, 70
LAW, 299, 69
MEAT, 45, 68
RICH, 74, 68
LINE, 298, 68
CAT, 23, 67
POLICE, 155, 67
BEER, 34, 67
FACE, 371, 67
GIVE, 291, 67
BUILDING, 160, 67
SEA, 95, 66
LOOK, 399, 66
NUMBER, 472, 66
COOL, 62, 65
ROAD, 197, 65
TOP, 204, 65
GROUP, 390, 65
NOISE, 37, 65
COUNTRY, 324, 65
HATE, 42, 64
TEACHER, 80, 64
FLY, 33, 64
ROCK, 75, 64
STORE, 74, 63
HOLD, 169, 63
TAKE, 611, 63
ONE, 3292, 63
WET, 53, 63
PLACE, 571, 62
DANCE, 90, 62
CLOSE, 234, 62
RAIN, 70, 61
BLUE, 143, 61
AIR, 257, 61
DANGER, 70, 61
CRIME, 34, 61
DOOR, 312, 61
BEAUTIFUL, 127, 61
DOCTOR, 100, 61
BEACH, 61, 60
FOOTBALL, 36, 60
STUDY, 246, 60
GLASS, 99, 60
POINT, 395, 60
SEE, 772, 60
WALK, 100, 59
ARMY, 132, 59
WIN, 55, 59
MOUNTAIN, 33, 58
BED, 127, 58
MOVE, 171, 58
QUIET, 76, 58
CHICKEN, 37, 57
RELIGION, 119, 57
FEAR, 127, 57
AWAY, 456, 57
TIRED, 48, 56
FAMILY, 331, 56
RING, 47, 56
ANSWER, 152, 55
BOX, 70, 55
NIGHT, 411, 55
PLANT, 125, 55
JAIL, 21, 55
STICK, 39, 55
ANGER, 48, 55
DRESS, 67, 55
WARM, 67, 54
PICTURE, 162, 54
BOY, 242, 54
SCARED, 21, 54
LARGE, 361, 54
QUESTION, 257, 54
NEW, 1635, 54
GRASS, 53, 54
WRITE, 106, 54
DUMB, 13, 53
LAND, 217, 53
POWER, 342, 53
HOLE, 58, 53
FRUIT, 35, 52
EVIL, 72, 52
CHANGE, 240, 52
NO, 2201, 52
ART, 208, 52
TRUTH, 126, 52
BUG, 4, 52
FLOWER, 23, 52
MIND, 325, 51
STAR, 25, 51
WORD, 274, 51
HEAT, 97, 51
DINNER, 91, 51
POOR, 113, 51
KNOWLEDGE, 145, 51
YELLOW, 55, 51
CAKE, 13, 50
BASEBALL, 57, 50
GREAT, 665, 50
MAD, 39, 50
SWIM, 15, 50
FREE, 260, 50
SCARY, 2, 50
BREAD, 41, 50
SPORT, 17, 50
SHIP, 83, 50
WORDS, 274, 50
EASY, 125, 50
COW, 29, 49
DAY, 686, 49
COURT, 230, 49
TRIP, 81, 49
NOSE, 60, 49
SLOW, 60, 49
SHIRT, 27, 49
GOLD, 52, 49
DO, 1363, 48
YUCK, 0, 48
MOTHER, 216, 48
SKY, 58, 48
SAME, 686, 48
FIX, 14, 48
LETTER, 145, 47
BURN, 15, 47
SOUND, 204, 47
RIGHT, 613, 47
BACK, 967, 47
APPLE, 9, 47
CRIMINAL, 24, 47
MOUTH, 103, 47
KING, 88, 46
IDEA, 195, 46
COOK, 47, 46
EYE, 122, 46
LITTLE, 831, 46
DRUG, 24, 46
DRUNK, 37, 46
MEDICINE, 30, 46
BAR, 82, 46
MANY, 1030, 46
STORY, 153, 46
THOUGHT, 442, 46
ICE, 45, 46
CHOCOLATE, 9, 46
SONG, 70, 46
CRY, 48, 46
FAKE, 10, 46
RUDE, 6, 46
WATCH, 81, 45
HONOR, 66, 45
TABLE, 198, 45
LOST, 173, 45
ROUND, 81, 45
METAL, 61, 45
GOVERNMENT, 417, 45
CANDY, 16, 45
GAS, 98, 44
HOSPITAL, 110, 44
SMOKE, 41, 44
NOW, 1314, 44
ALCOHOL, 13, 44
HAND, 431, 44
WALL, 160, 44
TROUBLE, 134, 44
WEIGHT, 91, 44
FEELING, 172, 43
CALM, 35, 43
NONE, 108, 43
GONE, 195, 43
CHEMISTRY, 16, 43
KNIFE, 76, 43
SIGN, 94, 43
ARM, 94, 43
SNOW, 59, 43
ENGLISH, 195, 43
PEN, 18, 43
ALONE, 195, 42
HEART, 173, 42
CLEAR, 219, 42
RELAX, 19, 42
TRAVEL, 61, 42
LAUGH, 28, 42
EXPENSIVE, 44, 42
SOAP, 22, 42
TEETH, 103, 42
SKIN, 47, 42
TELL, 268, 42
SMOOTH, 42, 42
CLOTH, 40, 41
CHILDREN, 346, 41
EARTH, 150, 41
CITY, 393, 41
DIFFERENT, 312, 41
MESS, 22, 41
FIELD, 274, 41
COLLEGE, 267, 41
IMPORTANT, 369, 41
SHARP, 72, 41
DESTROY, 48, 41
MILK, 49, 41
PAINT, 37, 40
PAY, 172, 40
UNDERSTAND, 137, 40
BRIGHT, 87, 40
CIRCLE, 60, 40
EXERCISE, 58, 40
RIDE, 49, 40
EYES, 394, 40
POT, 33, 40
LIKE, 1290, 40
CONTROL, 223, 40
DRIVE, 105, 40
LEG, 58, 40
CRAZY, 34, 40
STREET, 244, 40
DRY, 68, 40
COVER, 88, 40
MAKE, 794, 40
CHAIR, 66, 39
TALL, 55, 39
ORANGE, 23, 39
YOUNG, 385, 39
COMPUTER, 13, 39
GROUND, 186, 39
CHEESE, 9, 39
PLANE, 114, 39
LEARN, 84, 39
OIL, 93, 39
