TARGET, BSSQ, BSGQ, ESSQ*, ESGQ, BFQ, BFSS, BFSG, EFQ, EFSS, EFSG, TSS, TFR, TCON, TH, TPS, TMC, TPR, TRSG, TUC, TUI
ABLE*, ¥, ¥, 11, .02, , ¥, ¥, , ¥, ¥, 15, 216, 2.91, , AJ, ¥, ¥, ¥, 0, .53
ABSURD, ¥, ¥, 9, .01, , ¥, ¥, , ¥, ¥, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, .79
ABUSE, ¥, ¥, 8, 0.00, , ¥, ¥, , ¥, ¥, 15, 1, 2.17, , V, 1.79, .43, .042, 1, .93
ACE, ¥, ¥, 14, .01, , ¥, ¥, -CE, 2, .31, 15, 15, 3.78, T, N, .23, .08, .003, 1, .87
ACHE, ¥, ¥, 20, .01, , ¥, ¥, , ¥, ¥, 7, 4, 4.33, , V, 1.00, .86, .027, 1, 1.00
ACHIEVE, ¥, ¥, 15, 0.00, , ¥, ¥, , ¥, ¥, 17, 51, ¥, , V, 2.29, .47, .055, 1, 1.00
ACID, ¥, ¥, 14, 0.00, , ¥, ¥, , ¥, ¥, 15, 13, ¥, , N, .71, .29, .016, 1, .93
ACKNOWLEDGE, ¥, ¥, 9, 0.00, , ¥, ¥, , ¥, ¥, 22, 12, 2.86, , V, 1.29, .14, .004, 1, .95
ACORN, ¥, ¥, 12, 0.00, , ¥, ¥, , ¥, ¥, 6, 1, ¥, , N, 1.33, .17, .020, 1, 1.00
ACT, ¥, ¥, 15, .02, A--, 11, .01, , ¥, ¥, 16, 283, 3.79, T, N, 1.67, .40, .046, 1, .94
ACTION*, ¥, ¥, 10, .06, , ¥, ¥, , ¥, ¥, 20, 291, 3.00, G, N, 1.53, .37, .035, 1, .95
ACTOR*, ¥, ¥, 5, .03, , ¥, ¥, ---OR, 11, .01, 14, 24, 5.45, , N, 1.45, .55, .302, 1, .79
ADD, ¥, ¥, 15, .01, , ¥, ¥, , ¥, ¥, 11, 88, 2.95, , V, 1.45, .82, .503, 1, 1.00
ADDICT, ¥, ¥, ¥, ¥, , ¥, ¥, ---ICT, 3, .05, 9, 1, ¥, , N, 1.00, .50, .021, 1, .89
ADMIRE, ¥, ¥, 11, 0.00, , ¥, ¥, , ¥, ¥, 17, 10, 2.92, , V, 1.80, .47, .034, 1, .88
ADORE, ¥, ¥, 28, .01, , ¥, ¥, --ORE, 9, .08, 7, 2, ¥, , V, 2.43, .29, .010, 1, 1.00
ADORN, ¥, ¥, 12, .02, , ¥, ¥, , ¥, ¥, 23, 1, 3.35, , V, 1.29, .05, .004, 1, .91
ADVANCE, ¥, ¥, ¥, ¥, , ¥, ¥, ---ANCE, 7, .05, 21, 60, ¥, T, V, 1.74, .11, .001, 1, .90
AFFECTION*, ¥, ¥, 21, .05, , ¥, ¥, , ¥, ¥, 6, 1, 3.70, , N, 1.50, .33, .003, 1, 1.00
AGAINST, ¥, ¥, 20, 0.00, , ¥, ¥, , ¥, ¥, 16, 626, ¥, , PP, ¥, ¥, ¥, 0, .81
AGE, ¥, ¥, 9, .01, , ¥, ¥, , ¥, ¥, 20, 227, 4.14, , N, ¥, ¥, ¥, 0, .65
AHEAD, ¥, ¥, 20, 0.00, , ¥, ¥, , ¥, ¥, 12, 109, ¥, , AD, 1.33, .42, .029, 1, 1.00
AID, ¥, ¥, 23, .01, A--, 11, .01, , ¥, ¥, 7, 130, 3.68, , V, .57, .43, .049, 1, 1.00
AIM, ¥, ¥, 6, .03, , ¥, ¥, -IM, 7, .02, 13, 37, 3.40, , V, 1.08, .31, .007, 1, 1.00
AIR, ¥, ¥, 25, .01, , ¥, ¥, , ¥, ¥, 17, 257, 5.67, T, N, 1.00, .65, .159, 1, 1.00
AIRPLANE, ¥, ¥, 38, .01, , ¥, ¥, , ¥, ¥, 21, 11, 6.83, , N, 2.62, .29, .061, 1, 1.00
AIRPORT, ¥, ¥, 19, 0.00, , ¥, ¥, , ¥, ¥, 6, 19, 6.31, , N, 1.20, 0.00, 0.000, 1, .83
AISLE, ¥, ¥, 15, .02, , ¥, ¥, , ¥, ¥, 13, 6, 5.05, , N, ¥, ¥, ¥, 0, 0.00
ALARM, ¥, ¥, 7, .16, , ¥, ¥, , ¥, ¥, 12, 16, 4.86, , N, 1.00, .33, .034, 1, 1.00
ALE, ¥, ¥, 3, .02, , ¥, ¥, --E, 24, .02, 7, 1, 5.66, , N, ¥, ¥, ¥, 0, .71
ALERT, ¥, ¥, 15, .01, , ¥, ¥, , ¥, ¥, 13, 33, 3.96, , AJ, .82, .36, .036, 1, .85
ALIKE, ¥, ¥, 11, 0.00, , ¥, ¥, , ¥, ¥, 7, 20, 2.83, , AJ, 2.57, 1.00, .122, 1, 1.00
ALL, ¥, ¥, 15, 0.00, , ¥, ¥, , ¥, ¥, 12, 3001, 2.63, , AJ, ¥, ¥, ¥, 0, .75
ALLIGATOR*, ¥, ¥, 16, .06, , ¥, ¥, , ¥, ¥, 13, 4, 6.45, , N, 1.08, .23, .295, 1, 1.00
ALMOND, ¥, ¥, ¥, ¥, , ¥, ¥, --MOND, 2, .03, 11, 1, ¥, , N, 1.44, .11, .009, 1, .82
ALONE, ¥, ¥, 26, .01, , ¥, ¥, --ONE, 9, .02, 19, 195, 3.81, , AJ, 1.44, .63, .090, 1, .84
ALUMINUM, ¥, ¥, 18, 0.00, , ¥, ¥, , ¥, ¥, 8, 18, 5.19, , N, 1.75, .75, .101, 1, 1.00
AMBULANCE, ¥, ¥, 10, 0.00, , ¥, ¥, , ¥, ¥, 18, 6, 7.00, , N, 1.72, .22, .033, 1, 1.00
AMP, ¥, ¥, 12, .01, , ¥, ¥, , ¥, ¥, 19, 1, 3.19, , N, 3.22, .11, .003, 1, .95
ANATOMY, ¥, ¥, 33, 0.00, , ¥, ¥, , ¥, ¥, 13, 9, ¥, , N, 1.58, .25, .014, 1, .92
ANGEL, ¥, ¥, ¥, ¥, ANG--, 5, .10, ---EL, 17, .03, 14, 18, 3.41, , N, 1.29, .36, .088, 1, 1.00
ANGER, ¥, ¥, ¥, ¥, ANG--, 5, .41, --GER, 7, .46, 14, 48, 3.75, , N, 1.92, .31, .031, 1, .93
ANGLE*, ¥, ¥, ¥, ¥, ANG--, 5, .32, , ¥, ¥, 16, 51, 5.19, T, V, ¥, ¥, ¥, 0, .81
ANGRY, ¥, ¥, ¥, ¥, ANG--, 5, .12, , ¥, ¥, 9, 45, 3.75, , AJ, 1.44, .44, .216, 1, 1.00
ANIMAL, ¥, ¥, ¥, ¥, ANI---, 2, .76, --IMAL, 2, .90, 28, 68, 5.65, , N, 1.81, .74, .053, 1, .96
ANKLE, ¥, ¥, ¥, ¥, AN---, 9, .10, --KLE, 1, .81, 16, 8, 7.00, , N, 1.79, .36, .033, 1, .88
ANNOUNCE, ¥, ¥, 6, .01, , ¥, ¥, , ¥, ¥, 19, 18, 3.13, , V, 2.19, 0.00, 0.000, 1, .84
ANNOY, ¥, ¥, 10, 0.00, , ¥, ¥, --N-Y, 17, .02, 15, 2, ¥, , V, 2.38, .46, .146, 1, .87
ANSWER*, ¥, ¥, ¥, ¥, , ¥, ¥, ----ER, 37, 0.00, 9, 152, 3.85, , N, 1.44, .67, .537, 1, 1.00
ANT, ¥, ¥, 11, 0.00, A--, 11, .37, , ¥, ¥, 14, 6, 6.00, , N, 1.93, .36, .027, 1, 1.00
ANTLER, ¥, ¥, ¥, ¥, , ¥, ¥, ---LER, 16, .03, 9, 3, 5.98, , N, 1.33, .33, .047, 1, 1.00
APART, ¥, ¥, 12, 0.00, , ¥, ¥, --ART, 5, .03, 8, 57, 3.00, , AD, 2.62, .25, .132, 1, 1.00
APE, ¥, ¥, 13, .01, A--, 11, .01, , ¥, ¥, 10, 3, 6.40, , N, 3.00, .67, .136, 1, .90
APPEAR, ¥, ¥, ¥, ¥, , ¥, ¥, ----AR, 10, 0.00, 15, 118, 2.67, , V, 1.33, .20, .068, 1, 1.00
APPRAISE, ¥, ¥, 20, 0.00, , ¥, ¥, , ¥, ¥, 14, 4, 2.75, , N, 1.54, .08, .001, 1, .93
ARM, ¥, ¥, 7, .01, , ¥, ¥, , ¥, ¥, 6, 94, 5.53, N, N, 1.00, .80, .361, 1, .83
ARROW*, ¥, ¥, 9, .09, , ¥, ¥, , ¥, ¥, 9, 14, 7.00, , N, .67, .33, .219, 1, 1.00
ART, ¥, ¥, 12, .01, , ¥, ¥, , ¥, ¥, 17, 208, 4.36, , N, 1.31, .50, .029, 1, .94
ARTERY, ¥, ¥, 33, 0.00, , ¥, ¥, , ¥, ¥, 8, 46, 6.28, , N, 1.25, .13, .136, 1, 1.00
ASHES, ¥, ¥, 20, 0.00, , ¥, ¥, , ¥, ¥, 12, 6, ¥, , N, 1.40, 0.00, 0.000, 1, .83
ASHTRAY, ¥, ¥, 26, 0.00, , ¥, ¥, , ¥, ¥, 8, 1, 6.56, , N, 1.00, .13, .028, 1, 1.00
ASK, ¥, ¥, 5, .01, A--, 11, .01, , ¥, ¥, 17, 128, 2.48, , V, 1.19, .31, .047, 1, .94
ASPIRIN, ¥, ¥, 18, 0.00, , ¥, ¥, , ¥, ¥, 10, 3, 5.70, , N, 2.60, .80, .118, 1, 1.00
ASS, ¥, ¥, 16, .02, A--, 11, .09, , ¥, ¥, 13, 5, 6.03, , N, 1.00, .23, .150, 1, 1.00
ASSIST, ¥, ¥, 16, 0.00, , ¥, ¥, , ¥, ¥, 3, 26, 3.38, , V, 1.00, .33, .014, 1, 1.00
ASSISTANT, ¥, ¥, 11, 0.00, , ¥, ¥, , ¥, ¥, 11, 36, ¥, , N, 1.40, .30, .098, 1, .91
ASSOCIATE, ¥, ¥, 25, 0.00, , ¥, ¥, , ¥, ¥, 24, 21, ¥, , V, ¥, ¥, ¥, 0, .71
ASSUME, ¥, ¥, 17, .01, , ¥, ¥, , ¥, ¥, 23, 63, ¥, , V, 1.15, .10, .019, 1, .87
ATHLETE, ¥, ¥, 17, 0.00, , ¥, ¥, , ¥, ¥, 18, 9, ¥, , N, 1.82, .24, .035, 1, .94
ATTIRE, ¥, ¥, 11, .01, , ¥, ¥, , ¥, ¥, 6, 6, ¥, , N, 2.17, .50, .001, 1, 1.00
AUNT, ¥, ¥, 11, .03, , ¥, ¥, , ¥, ¥, 3, 22, 5.79, , N, 1.33, 1.00, .542, 1, 1.00
AWAKE, ¥, ¥, 20, .05, , ¥, ¥, , ¥, ¥, 9, 20, 4.40, , V, 1.11, .67, .252, 1, 1.00
AWARE, ¥, ¥, 25, 0.00, , ¥, ¥, , ¥, ¥, 18, 84, ¥, , AJ, 1.47, .35, .045, 1, .94
AWESOME, ¥, ¥, 18, 0.00, , ¥, ¥, , ¥, ¥, 13, 4, ¥, , AJ, ¥, ¥, ¥, 0, .77
AWFUL, ¥, ¥, 9, 0.00, , ¥, ¥, , ¥, ¥, 11, 17, 2.28, , AJ, 2.91, .46, .038, 1, 1.00
BABY*, ¥, ¥, 2, .62, BA--, 13, .02, , ¥, ¥, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 1.00
BACK, 14, .07, 25, .17, , ¥, ¥, -ACK, 8, .19, 12, 967, 4.89, , N, 1.25, .50, .406, 1, 1.00
BACKPACK, 14, 0.00, 25, 0.00, , ¥, ¥, , ¥, ¥, 12, 1, ¥, , N, 1.82, .27, .023, 1, .92
BACON*, ¥, ¥, 8, .45, BA---, 26, .03, , ¥, ¥, 10, 10, 6.46, , N, 2.30, .50, .095, 1, 1.00
BAD, 14, .27, 15, .20, B--, 21, .02, -AD, 8, .15, 9, 142, 3.00, , AJ, .33, .56, .571, 1, 1.00
BADGE, ¥, ¥, ¥, ¥, BAD--, 2, .27, , ¥, ¥, 14, 5, 5.49, , N, 1.38, .31, .007, 1, .93
BAG, 14, .16, 18, .09, B--, 21, .03, -AG, 10, .15, 17, 42, 6.30, , N, 1.06, .50, .062, 1, .94
BAGEL, ¥, ¥, ¥, ¥, BA---, 26, .01, ---EL, 17, .01, 12, 0, ¥, , N, ¥, ¥, ¥, 0, .83
BAGGAGE, ¥, ¥, ¥, ¥, , ¥, ¥, ----AGE, 25, .01, 10, 4, ¥, , N, 2.20, .30, .057, 1, 1.00
BAIT, ¥, ¥, 25, .12, BA--, 16, .06, -AIT, 3, .59, 8, 2, ¥, , N, 1.14, .29, .007, 1, .88
BAKE, ¥, ¥, 20, .14, BA--, 13, .56, -AKE, 9, .10, 10, 12, 4.76, , V, 2.00, .70, .063, 1, 1.00
